timestamp_ms,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,pressureHPa,altitudeM,filteredHeight,filteredVelocity,imuVelocityPrediction,predictedApogeeM,servoCommand
1016,0.646434486,9.871294022,0.756567717,-0.007993874,0.03543951,-0.017852986,1032.951416,0.038717575,0.062042601,-0.108697124,0,0,0
1026,0.318428814,9.646238327,0.792480767,-0.007727412,0.04103522,-0.017586524,1032.951416,0.038717575,0.058073733,-0.115470394,0,0,0
1036,0.193930343,9.579200745,0.560243189,-0.005862175,0.050627869,-0.017053599,1032.951416,0.038717575,0.056910697,-0.117136896,0,0,0
1046,0.383072257,9.746794701,0.718260527,-0.003996937,0.060220521,-0.014122511,1032.951416,0.038717575,0.055730991,-0.118804403,0,0,0
1056,0.234631762,9.859322548,0.785298169,-0.0021317,0.062085759,-0.016254211,1032.951416,0.038717575,0.054534607,-0.120472774,0,0,0
1066,0.079008654,9.761159897,0.648828685,-0.001332312,0.062085759,-0.016787136,1032.949707,0.052796729,0.053253349,-0.122265056,0,0,0
1076,0.29688102,9.761159897,0.723048925,-0.002931087,0.056490045,-0.016520673,1032.949707,0.052796729,0.052022342,-0.123936392,0,0,0
1086,0.258573771,9.83777523,0.725443125,-0.003464012,0.054624807,-0.017053599,1032.949707,0.052796729,0.050774619,-0.125608414,0,0,0
1096,0.04070143,9.804255486,0.699106872,-0.003464012,0.057022974,-0.016787136,1032.949707,0.052796729,0.04951017,-0.127281174,0,0,0
1106,0.177170932,9.785101891,0.720654726,-0.0042634,0.05489127,-0.016254211,1032.943726,0.101571091,0.055193007,-0.116337761,0,0,0
1116,0.227449164,9.818621635,0.608127236,-0.003730475,0.053558957,-0.016520673,1032.943726,0.101571091,0.054021917,-0.117879935,0,0,0
1126,0.165199921,9.789890289,0.648828685,-0.002664625,0.050094947,-0.016254211,1032.943726,0.101571091,0.052835401,-0.119422868,0,0,0
1136,0.244208574,9.727641106,0.699106872,-0.003464012,0.043966308,-0.015454824,1032.943726,0.101571091,0.051633455,-0.120966613,0,0,0
1146,0.272938997,9.823410034,0.572214186,-0.003464012,0.038903523,-0.015721286,1032.947998,0.066875905,0.052574683,-0.118595757,0,0,0
1156,0.20590134,9.782708168,0.514753342,-0.002931087,0.03996937,-0.014655436,1032.947998,0.066875905,0.051381197,-0.12010169,0,0,0
1166,0.280121595,9.763554573,0.608127236,-0.003996937,0.042900458,-0.015188362,1032.947998,0.066875905,0.050172646,-0.121608414,0,0,0
1176,0.248996973,9.744400978,0.505176544,-0.0021317,0.044765696,-0.017053599,1032.947998,0.066875905,0.048949026,-0.123115823,0,0,0
1186,0.122104287,9.753977776,0.588973641,-0.002664625,0.046630934,-0.017586524,1032.947998,0.066875905,0.050233793,-0.120047942,0,0,0
1196,0.246602774,9.799467087,0.651222885,-0.003730475,0.048229709,-0.015721286,1032.947998,0.066875905,0.049025994,-0.121511728,0,0,0
1206,0.244208574,9.801861763,0.617704034,-0.004529862,0.048762634,-0.016254211,1032.947998,0.066875905,0.047803555,-0.122976139,0,0,0
1216,0.225054964,9.806650162,0.648828685,-0.005595712,0.050627869,-0.016787136,1032.945435,0.08749187,0.046566468,-0.124441072,0,0,0
1226,0.201112941,9.667786598,0.644040287,-0.003730475,0.05595712,-0.015721286,1032.945435,0.08749187,0.050886534,-0.115820765,0,0,0
1236,0.222660765,9.818621635,0.600944638,-0.002931087,0.060753446,-0.015188362,1032.945435,0.08749187,0.049721472,-0.117191508,0,0,0
1246,0.260968,9.864110947,0.617704034,-0.005329249,0.062085759,-0.014388974,1032.945435,0.08749187,0.048542697,-0.118562989,0,0,0
1256,0.232237563,9.782708168,0.63206923,-0.005329249,0.059954058,-0.015721286,1032.945435,0.08749187,0.047350205,-0.119935066,0,0,0
1266,0.213083953,9.832986832,0.617704034,-0.004796324,0.058888208,-0.015188362,1032.945435,0.08749187,0.051620133,-0.111431666,0,0,0
1276,0.294486821,9.667786598,0.627280831,-0.005329249,0.05595712,-0.014655436,1032.945435,0.08749187,0.050499398,-0.112715282,0,0,0
1286,0.272938997,9.655815125,0.653617084,-0.005329249,0.053026035,-0.015987748,1032.945435,0.08749187,0.049365822,-0.113999419,0,0,0
1296,0.213083953,9.821015358,0.627280831,-0.0042634,0.056756508,-0.015454824,1032.951416,0.038717575,0.048219405,-0.11528419,0,0,0
1306,0.169988319,9.880870819,0.665588081,-0.003996937,0.059421133,-0.016787136,1032.951416,0.038717575,0.045953449,-0.118554354,0,0,0
1316,0.10295067,9.816226959,0.598550439,-0.004796324,0.057022974,-0.016254211,1032.951416,0.038717575,0.044761389,-0.119857781,0,0,0
1326,0.122104287,9.794678688,0.541089594,-0.004529862,0.05142726,-0.013589587,1032.951416,0.038717575,0.043556288,-0.121162012,0,0,0
1336,0.325611442,9.667786598,0.574608386,-0.006928025,0.046897396,-0.014655436,1032.951416,0.038717575,0.042338144,-0.122466862,0,0,0
1346,0.196324542,9.785101891,0.610521436,-0.005062787,0.047963247,-0.014921899,1032.951416,0.038717575,0.040789768,-0.124337837,0,0,0
1356,0.275333196,9.83777523,0.536301196,-0.005062787,0.050894335,-0.014655436,1032.951416,0.038717575,0.039539833,-0.125649005,0,0,0
1366,0.380678058,9.622296333,0.586579442,-0.005595712,0.054091886,-0.013323124,1032.949707,0.052796729,0.038276784,-0.126960963,0,0,0
1376,0.215478152,9.655815125,0.720654726,-0.00319755,0.059421133,-0.015987748,1032.949707,0.052796729,0.037000611,-0.128273562,0,0,0
1386,0.234631762,9.904812813,0.612915635,-0.001598775,0.060486984,-0.016254211,1032.949707,0.052796729,0.037978943,-0.125570223,0,0,0
1396,0.215478152,9.792284966,0.629675031,-0.002664625,0.05489127,-0.015987748,1032.949707,0.052796729,0.036716845,-0.126849443,0,0,0
1406,0.225054964,10.15380955,0.608127236,-0.0021317,0.051693719,-0.015987748,1032.949707,0.052796729,0.03544195,-0.128129318,0,0,0
1416,0.284909993,9.852140427,0.749385118,-0.0042634,0.053825419,-0.015454824,1032.949707,0.052796729,0.034154251,-0.129409835,0,0,0
1426,0.232237563,10.28309631,1.125274777,-0.005062787,0.061552834,-0.015454824,1032.949707,0.052796729,0.035497982,-0.126041695,0,0,0
1436,0.85473001,10.17535686,2.032677174,-0.0063951,0.070346095,-0.017320061,1032.949707,0.052796729,0.034231354,-0.127283961,0,0,0
1446,-0.905008256,11.48019695,-1.726219416,0.005595712,0.075142421,-0.014921899,1032.949707,0.052796729,0.032952297,-0.128527284,0,0,0
1456,-10.11310768,61.69618225,5.509057999,0.002398162,0.057822358,-0.02797856,1032.949707,0.052796729,0.03166081,-0.129770249,0,0,0
1466,1.206677675,78.45080566,5.810727596,-0.001865237,-0.157212853,-0.068747319,1032.949707,0.052796729,0.03332676,-0.125829935,0,0,0
1476,6.399701118,78.45080566,0.677559078,-0.017320061,-0.163874418,-0.085534461,1032.954834,0.01106215,0.032062512,-0.127019584,0,0,0
